policy,env,block,grade_true,volume_allocated
eig@gamma-poisson,1,9,0.043748113307195025,20.0
eig@gamma-poisson,1,10,0.0885677551430599,17.0
eig@gamma-poisson,1,11,1.1391851500472658,30.0
maxent@gamma-poisson,1,0,0.07757510621351019,0.0
maxent@gamma-poisson,1,1,0.050517549471426566,0.0
maxent@gamma-poisson,1,2,0.11575317416134848,0.0
maxent@gamma-poisson,1,3,0.0506582264746632,0.0
maxent@gamma-poisson,1,4,0.8598327809744648,236.0
maxent@gamma-poisson,1,5,0.035487709384518146,0.0
maxent@gamma-poisson,1,6,0.21693206379960261,0.0
maxent@gamma-poisson,1,7,1.3816276382071415,3.0
maxent@gamma-poisson,1,8,0.17673992044441444,0.0
maxent@gamma-poisson,1,9,0.043748113307195025,0.0
maxent@gamma-poisson,1,10,0.0885677551430599,0.0
maxent@gamma-poisson,1,11,1.1391851500472658,1.0
d-optimality@gamma-poisson,1,0,0.07757510621351019,26.0
d-optimality@gamma-poisson,1,1,0.050517549471426566,14.0
d-optimality@gamma-poisson,1,2,0.11575317416134848,0.0
d-optimality@gamma-poisson,1,3,0.0506582264746632,22.0
d-optimality@gamma-poisson,1,4,0.8598327809744648,27.0
d-optimality@gamma-poisson,1,5,0.035487709384518146,11.0
d-optimality@gamma-poisson,1,6,0.21693206379960261,25.0
d-optimality@gamma-poisson,1,7,1.3816276382071415,27.0
d-optimality@gamma-poisson,1,8,0.17673992044441444,24.0
d-optimality@gamma-poisson,1,9,0.043748113307195025,21.0
d-optimality@gamma-poisson,1,10,0.0885677551430599,16.0
d-optimality@gamma-poisson,1,11,1.1391851500472658,27.0
neyman@gamma-poisson,1,0,0.07757510621351019,10.0
neyman@gamma-poisson,1,1,0.050517549471426566,20.0
neyman@gamma-poisson,1,2,0.11575317416134848,12.0
neyman@gamma-poisson,1,3,0.0506582264746632,8.0
neyman@gamma-poisson,1,4,0.8598327809744648,39.0
neyman@gamma-poisson,1,5,0.035487709384518146,10.0
neyman@gamma-poisson,1,6,0.21693206379960261,14.0
neyman@gamma-poisson,1,7,1.3816276382071415,42.0
neyman@gamma-poisson,1,8,0.17673992044441444,18.0
neyman@gamma-poisson,1,9,0.043748113307195025,13.0
neyman@gamma-poisson,1,10,0.0885677551430599,11.0
neyman@gamma-poisson,1,11,1.1391851500472658,43.0
predictive-variance@gamma-poisson,1,0,0.07757510621351019,40.0
predictive-variance@gamma-poisson,1,1,0.050517549471426566,0.0
predictive-variance@gamma-poisson,1,2,0.11575317416134848,0.0
predictive-variance@gamma-poisson,1,3,0.0506582264746632,0.0
predictive-variance@gamma-poisson,1,4,0.8598327809744648,40.0
predictive-variance@gamma-poisson,1,5,0.035487709384518146,0.0
predictive-variance@gamma-poisson,1,6,0.21693206379960261,40.0
predictive-variance@gamma-poisson,1,7,1.3816276382071415,40.0
predictive-variance@gamma-poisson,1,8,0.17673992044441444,40.0
predictive-variance@gamma-poisson,1,9,0.043748113307195025,0.0
predictive-variance@gamma-poisson,1,10,0.0885677551430599,0.0
