policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
epistemic,3,30.0,2,0.028431528015062213,4.441998332834271,0.4375277460754232,0.3400593142012211
epistemic,3,60.0,3,0.02947356301592663,4.413411604990171,0.43436565063168403,0.36353639252112924
epistemic,3,90.0,4,0.03040370301459916,4.373370010360599,0.4325288190922431,0.36353639252112924
epistemic,3,120.0,44,0.050429650087608024,3.8474055614690172,0.2674680684782231,0.13247045737553104
thompson,3,15.0,1,0.015022790001239628,4.494740828668146,0.44840528184125766,0.4247172439302082
thompson,3,30.0,2,0.02971035600057803,4.4315533072535045,0.4343247895502191,0.4247172439302082
thompson,3,60.0,3,0.04455552398576401,4.410096997768994,0.4339415009471763,0.4247172439302082
thompson,3,90.0,4,0.05909879200044088,4.357354501935119,0.422691918596737,0.3400593142012211
thompson,3,120.0,44,0.6622634920058772,4.041713712010276,0.32708075567214906,0.1852318219667045
uniform,3,15.0,3,4.596018698066473e-06,4.428958265716843,0.42088222704305756,0.3400593142012211
uniform,3,30.0,6,8.582050213590264e-06,4.368858744482168,0.4152566483362747,0.3400593142012211
uniform,3,60.0,12,1.490104477852583e-05,4.271063675819918,0.3938919757385125,0.36353639252112924
uniform,3,90.0,18,1.9464059732854366e-05,4.134084884699771,0.3663474029730588,0.36353639252112924
uniform,3,120.0,24,2.409901935607195e-05,3.97637844147737,0.3386404043932331,0.31641334467276944
random,3,15.0,4,3.2073992770165205e-05,4.475449393685818,0.44263163252862653,0.3597902885999102
random,3,30.0,5,4.399099270813167e-05,4.433352621702009,0.43535244542205465,0.3697868787668763
random,3,60.0,7,6.260402733460069e-05,4.434244214627323,0.4309919661268426,0.3697868787668763
random,3,90.0,8,7.932801963761449e-05,4.411126946920832,0.4306517084613219,0.3697868787668763
random,3,120.0,20,0.00014009501319378614,4.211392269991414,0.39779864096760686,0.3272620819008997
eig@gamma-poisson,3,15.0,30,0.0859638080582954,4.412260262402701,0.3181711878616188,0.21069976264539023
eig@gamma-poisson,3,30.0,60,0.11480053610284813,4.155642289657987,0.26112138100479765,0.1483171562614893
eig@gamma-poisson,3,60.0,120,0.16945761305396445,3.6547563860580516,0.1835837535823319,0.0
eig@gamma-poisson,3,90.0,180,0.22244640908320434,3.5553226474761437,0.16862931400685102,0.0
eig@gamma-poisson,3,120.0,240,0.27478782524121925,3.4414000485584695,0.15297032663676252,0.0
eig@lognormal-poisson,3,15.0,30,32.138160017027985,4.280296029969499,0.31880280020509094,0.21069976264539023
eig@lognormal-poisson,3,30.0,60,32.74230470790644,4.039211853308636,0.2768070935911222,0.1483171562614893
eig@lognormal-poisson,3,60.0,120,33.761252790893195,3.584891168311812,0.17219183042775607,0.0
eig@lognormal-poisson,3,90.0,180,34.66841495377594,3.488578902548537,0.15945350456827864,0.0
eig@lognormal-poisson,3,120.0,240,35.50179500383092,3.396436341369793,0.1401884401343179,0.0
eig,4,15.0,30,1.8738752970530186,4.121808452327653,0.28103733253619084,0.04187715888158139
eig,4,30.0,60,2.2012963310990017,4.043223017106712,0.2397125049620555,0.07682673354005341
eig,4,60.0,120,2.831276126031298,3.6599009415481287,0.1575771059293664,0.0037612245704830255
eig,4,90.0,180,3.4387423178122845,3.546698258691444,0.1350401291919878,0.0037612245704830255
eig,4,120.0,240,4.023342506785411,3.4829595859586306,0.12049560367143197,0.003761224570482911
epig,4,15.0,30,9.864791260100901,4.121808452327653,0.28103733253619084,0.04187715888158139
epig,4,30.0,60,13.447426924074534,4.043223017106712,0.2397125049620555,0.07682673354005341
epig,4,60.0,120,20.298325026029488,3.6667356319610818,0.15801176502187994,0.0037612245704830255
epig,4,90.0,180,26.99412440013839,3.5450406439655406,0.13478010132691615,0.0037612245704830255
epig,4,120.0,240,32.47200385906035,3.4829595859586306,0.12049560367143197,0.003761224570482911
maxent,4,15.0,30,1.4008921819913667,4.446947263443598,0.38947979946827554,0.504779373497709
maxent,4,30.0,60,1.6178175030800048,4.438475769759548,0.38940384946439205,0.504779373497709
maxent,4,60.0,120,2.0436115879565477,4.435118768479189,0.3893671045998258,0.504779373497709
maxent,4,90.0,180,2.4678228309203405,4.4358669150726024,0.38935915619948513,0.504779373497709
maxent,4,120.0,240,2.8917613638332114,4.4365596430018615,0.3893580160901882,0.504779373497709
d-optimality,4,15.0,30,0.03782113891793415,4.213302920532242,0.30694098769328887,0.20142662687183754
d-optimality,4,30.0,60,0.052209605055395514,4.081616045895489,0.2416031216211862,0.0456383834520643
d-optimality,4,60.0,120,0.0814302830840461,3.6640052623571004,0.1568234013579457,0.0037612245704830255
d-optimality,4,90.0,180,0.11263421113835648,3.5619327648270676,0.13389590412351746,0.034949574658472135
d-optimality,4,120.0,240,0.1437275262142066,3.489223347077742,0.12148783059311462,0.003761224570482911
neyman,4,15.0,30,0.11434523283969611,4.121808452327653,0.28103733253619084,0.04187715888158139
neyman,4,30.0,60,0.21850189694669098,4.070598504001921,0.24526397867102326,0.07682673354005341
neyman,4,60.0,120,0.4357466919464059,3.6446810581745015,0.15661543776745307,0.0037612245704830255
neyman,4,90.0,180,0.6600975070323329,3.545123301944652,0.1328228957666925,0.003761224570482911
neyman,4,120.0,240,0.9001081039605197,3.4797202108947674,0.1188487778572547,0.003761224570482911
predictive-variance,4,15.0,1,0.025445203005801886,4.541912639548582,0.42369527011108454,0.6249764999108409
predictive-variance,4,30.0,2,0.026313464011764154,4.49472419294461,0.4126040034782843,0.590740319375289
predictive-variance,4,60.0,3,0.027184223028598353,4.440772396440519,0.3983489141695456,0.5015721055353705
predictive-variance,4,90.0,4,0.028036102012265474,4.413098669618402,0.39785047158577597,0.5015721055353705
predictive-variance,4,120.0,44,0.047037164942594245,3.9877338340370585,0.24259387402313018,0.04187715888158139
epistemic,4,15.0,1,0.02477309000096284,4.541912639548582,0.42369527011108454,0.6249764999108409
epistemic,4,30.0,2,0.025620008003897965,4.49472419294461,0.4126040034782843,0.590740319375289
epistemic,4,60.0,3,0.026468619995284826,4.440772396440519,0.3983489141695456,0.5015721055353705
epistemic,4,90.0,4,0.02731758198933676,4.413098669618402,0.39785047158577597,0.5015721055353705
epistemic,4,120.0,44,0.04593786990153603,3.9877338340370585,0.24259387402313018,0.04187715888158139
thompson,4,15.0,1,0.013709847000427544,4.545516376729522,0.42445402232310786,0.5390155540332608
thompson,4,30.0,2,0.02686709602130577,4.521998703526283,0.4244003762102943,0.5390155540332608
thompson,4,60.0,3,0.040095882024616,4.513757315636794,0.42087083934547714,0.5390155540332608
thompson,4,90.0,4,0.05324548203498125,4.4881740551020926,0.4202116732098111,0.5390155540332608
thompson,4,120.0,44,0.5964601671148557,4.12961754595212,0.31227316704932323,0.24233969711713416
uniform,4,15.0,3,4.708010237663984e-06,4.538279727826729,0.41906801887846146,0.6249764999108409
uniform,4,30.0,6,8.83603934198618e-06,4.481593767849685,0.40436451324405404,0.590740319375289
uniform,4,60.0,12,1.4721037587150931e-05,4.252568517039719,0.3636891687254915,0.37599569776908515
uniform,4,90.0,18,1.9509054254740477e-05,4.131531774482511,0.32897908206639903,0.38332651528171463
uniform,4,120.0,24,2.3844040697440505e-05,4.0281984608110974,0.3049572903050098,0.3602766595904167
random,4,15.0,1,1.806500949896872e-05,4.5525315198397225,0.42474022993232785,0.6249764999108409
random,4,30.0,2,2.9682007152587175e-05,4.537957422546747,0.421646474823775,0.6249764999108409
random,4,60.0,6,5.275502917356789e-05,4.515483777311471,0.4146175295301492,0.6249764999108409
